        86574.49 CHF  Assets
        44602.99 CHF    Banks
        44018.47 CHF      Swiss Bank
          584.52 CHF      あおによし
        41971.50 CHF    Brokers:US Broker
                   0    Wire:US Broker
       -65843.51 CHF  Equity:Initial
         2503.35 CHF  Expenses
          486.47 CHF    Cash
            9.74 CHF    Comissions
            7.14 CHF    Commissions
         2000.00 CHF    Tax:Income
        -8852.33 CHF  Income
         -352.33 CHF    Capital Gain
        -8500.00 CHF    Salary
        -5845.15 CHF  Liabilities
                   0    My Card
        -5845.15 CHF    Study Loan
--------------------
         8536.85 CHF
